"scenario","policy","policy_param","crit","type1","type2","type3","total","total_ly"
"cyclical",1,NA,"80","+3 (0 to 6)","0 (0 to 0)","-3 (-5 to -1)","+0 (0 to 1)","-77 (13 to 21)"
"cyclical",2,6,"50","+58 (24 to 78)","0 (0 to 0)","-45 (-69 to -11)","+13 (-10 to 9)","-857 (-3036 to 6)"
"cyclical",2,6,"60","+33 (16 to 50)","0 (0 to 0)","-35 (-52 to -9)","-1 (-16 to 4)","-931 (-1938 to -89)"
"cyclical",2,6,"70","+13 (3 to 13)","0 (0 to 0)","-16 (-25 to -4)","-3 (-12 to 0)","-452 (-809 to -84)"
"cyclical",2,6,"80","+2 (-1 to 12)","0 (0 to 0)","-2 (-3 to 1)","+0 (0 to 4)","-59 (-39 to 151)"
"cyclical",2,3,"50","+29 (8 to 43)","0 (0 to 0)","-30 (-51 to -6)","-1 (-14 to 5)","-1052 (-2940 to -12)"
"cyclical",2,3,"60","+19 (5 to 31)","0 (0 to 0)","-25 (-43 to -6)","-6 (-16 to 1)","-930 (-1956 to -167)"
"cyclical",2,3,"70","+9 (2 to 13)","0 (0 to 0)","-13 (-24 to -3)","-4 (-1 to 0)","-428 (-731 to -24)"
"cyclical",2,3,"80","+2 (-1 to 7)","0 (0 to 0)","-2 (-3 to 1)","0 (1 to 4)","-53 (-37 to 126)"
"cyclical",3,NA,"50","-64 (-135 to -11)","+72 (6 to 167)","-20 (-37 to -3)","-12 (-26 to -3)","-1493 (-3346 to -177)"
"cyclical",3,NA,"60","-69 (-115 to -19)","+77 (15 to 142)","-22 (-39 to -4)","-13 (-21 to -3)","-1220 (-2083 to -281)"
"cyclical",3,NA,"70","-35 (-54 to -18)","+40 (9 to 71)","-12 (-19 to -2)","-7 (-3 to -1)","-537 (-812 to -119)"
"cyclical",3,NA,"80","-5 (-7 to 12)","+6 (1 to 14)","-2 (-4 to 0)","-1 (0 to 6)","-77 (13 to 25)"
